Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count
Baten Kaitos: Eternal Wings and the Lost Ocean,11/16/2004,Monolith Soft,Namco,JRPG,Rated T For Teen,8.2,78
Etrian Odyssey III: The Drowned City,9/21/2010,Atlus,Atlus,JRPG,Rated E +10 For Everyone +10,8.4,27
Pro Evolution Soccer 2009,3/17/2009,KCET,Konami,Soccer Sim,Rated E For Everyone,6.6,31
Samurai Warriors: Katana,1/16/2008,Omega Force,Koei,Tactical FPS,Rated T For Teen,8.5,
Turok,2/5/2008,Propaganda Games,Touchstone,FPS,Rated M For Mature,6.1,54
Pokemon HeartGold Version,3/14/2010,Game Freak,Nintendo,Trainer RPG,Rated E For Everyone,9.2,1097
Undying,12/7/2023,Vanimals,Skystone Games,Survival,,7.4,8
Genesis Rising: The Universal Crusade,3/20/2007,Metamorf Studios,DreamCatcher Interactive,Real-Time Strategy,Rated T For Teen,3.3,7
Arc the Lad Collection,4/18/2002,ARC Entertainment,Working Designs,Compilation,Rated T For Teen,7.8,17
Q*bert (1999),11/30/2000,Artech Digital Entertainment,Hasbro Interactive,Arcade,Rated E For Everyone,6.5,
Death Road to Canada,5/8/2018,Rocketcat Games,UKIYO PUBLISHING LIMITED,Top-Down Shoot-'Em-Up,Rated T For Teen,7.4,39
Dragon Age II,3/8/2011,BioWare,Electronic Arts,Action RPG,Rated M For Mature,4.7,2509
Rayman Adventures,12/3/2015,Ubisoft,Ubisoft,2D Platformer,,6.6,30
MotoGP 22,4/21/2022,Milestone S.r.l,Milestone S.r.l,Auto Racing Sim,Rated E For Everyone,5.4,23
Jagged Alliance: Rage!,12/6/2018,HandyGames,HandyGames,Turn-Based Tactics,Rated M For Mature,3.1,26
Dementium Remastered,12/3/2015,Renegade Kid,Renegade Kid,Survival,Rated M For Mature,5.4,25
Banished,2/18/2014,Shining Rock Software,Shining Rock Software,Management,,8.1,735
SoulCalibur II,8/27/2003,Namco,Namco,3D Fighting,Rated T For Teen,8.7,174
Bejeweled Blitz Live,2/23/2011,Torpex Games LLC,PopCap,Matching Puzzle,Rated E For Everyone,7.5,10
Accel World vs. Sword Art Online: Millennium Twilight,7/7/2017,Artdink,Bandai Namco Games,Action RPG,Rated T For Teen,6,21
Run Roo Run,1/12/2012,5TH Cell,5TH Cell,2D Platformer,,6.5,6
SingStar Pop Vol. 2,9/23/2008,SCEE London Studio,SCEA,Rhythm,Rated T For Teen,,
Dragon Ball Z: Buu's Fury,9/14/2004,Webfoot Technologies,Atari SA,Action RPG,Rated E For Everyone,8.2,48
Lumines Plus,2/27/2007,Q Entertainment,Buena Vista Games,Matching Puzzle,Rated E For Everyone,,
Metroid: Zero Mission,2/9/2004,Nintendo,Nintendo,Metroidvania,Rated E For Everyone,9.1,409
Alien Front Online,8/9/2001,Sega,Sega,Third Person Shooter,Rated T For Teen,7.7,6
Death Jr.: Root of Evil,5/27/2008,Backbone Entertainment,Eidos Interactive,3D Platformer,Rated T For Teen,7.9,7
Balan Wonderworld,3/26/2021,Balan Company,Square Enix,3D Platformer,Rated E +10 For Everyone +10,5.2,262
RollerCoaster Tycoon 3,10/26/2004,Frontier Developments,Atari SA,Tycoon,Rated E For Everyone,5.1,358
TENS!,11/5/2020,Kwalee Ltd,Kwalee Ltd,Puzzle,Rated E For Everyone,,
Exorder,3/19/2018,Solid9 Studio,No Gravity Games,Turn-Based Tactics,,,
Naruto to Boruto: Shinobi Striker,8/31/2018,Soleil Ltd.,Bandai Namco Games,3D Fighting,Rated T For Teen,5.9,129
Metroid Prime 2: Echoes,11/15/2004,Retro Studios,Nintendo,FPS,Rated T For Teen,8.9,443
Naruto: Clash of Ninja Revolution 2,10/21/2008,Eighting,Tomy Corporation,3D Fighting,Rated T For Teen,8.1,14
The Last Guy,8/28/2008,SCE Japan Studio,SCEA,Action Adventure,Rated E +10 For Everyone +10,6.5,22
1080: Avalanche,12/1/2003,Nintendo,Nintendo,Skiing,Rated E For Everyone,7.7,27
Morphite,11/2/2017,Crescent Moon Games,Blowfish Studios,Action Adventure,Rated T For Teen,6.6,16
Slamjet Stadium,3/14/2013,Alistair Aitcheson,Alistair Aitcheson,Action,,,
Grounded,9/27/2022,Obsidian Entertainment,Xbox Game Studios,Sandbox,Rated T For Teen,7.8,223
Medal of Honor: Allied Assault,1/20/2002,2015,Electronic Arts,FPS,Rated T For Teen,8.5,612
VIDEOBALL,7/12/2016,Action Button Entertainment,Midnight City,Sports,,7.5,8
Naruto: The Broken Bond,11/8/2008,Ubisoft Montreal,Ubisoft,Open-World Action,Rated T For Teen,8,43
CT Special Forces 2: Back in the Trenches,6/29/2004,LSP,Hip Games,2D Platformer,Rated T For Teen,8.3,12
Revolution 60,7/12/2014,,,First-Person Adventure,,2,235
The Fall,5/30/2014,Over The Moon,Over The Moon,Action Adventure,,7.4,84
Parasite Eve,9/9/1998,SquareSoft,Square EA,Action RPG,Rated M For Mature,8.8,200
Creed: Rise to Glory - Championship Edition,4/4/2023,Survios,Survios,Combat Sport,Rated T For Teen,8,6
Chicken Shoot,7/5/2007,Destination Software,DSI Games,Light Gun,Rated E +10 For Everyone +10,5.6,14
The DioField Chronicle,9/22/2022,Lancarse,Square Enix,Real-Time Tactics,Rated T For Teen,4.9,96
Ori and the Blind Forest,3/11/2015,Moon Studios,Microsoft Game Studios,Metroidvania,Rated E For Everyone,8.6,1274
Luftrausers,3/18/2014,Vlambeer,Devolver Digital,Top-Down Shoot-'Em-Up,Rated E For Everyone,7,94
MotoGP 14,11/4/2014,Milestone S.r.l,Bandai Namco Games,Auto Racing Sim,Rated E For Everyone,6.1,32
Mario & Sonic at the Olympic Games Tokyo 2020,11/5/2019,Sega,Sega,Athletics,Rated E +10 For Everyone +10,6.8,186
She Remembered Caterpillars,1/17/2017,Ysbryd Games,Ysbryd Games,Action Puzzle,,5.9,21
Gal Metal,10/30/2018,Now Production,XSEED Games,Rhythm,Rated T For Teen,5.3,12
Godzilla: Domination!,11/11/2002,WayForward,Infogrames,2D Beat-'Em-Up,Rated E For Everyone,,
Necromunda: Hired Gun,6/1/2021,Streum On Studio,Focus Home Interactive,FPS,,6.1,66
Amplitude,1/5/2016,Harmonix Music Systems,Harmonix Music Systems,Rhythm,Rated E For Everyone,7.2,51
Xenon Racer,3/26/2019,3DClouds,Soedesco,Auto Racing,Rated E For Everyone,5.8,30
Serious Sam 3: BFE,11/22/2011,Croteam,Devolver Digital,FPS,,8,767
Great Big War Game,7/18/2012,Rubicon Development Ltd.,Rubicon Development Ltd.,Turn-Based Strategy,,6.6,14
Teenage Mutant Ninja Turtles (Game Boy Advance),10/31/2003,Konami,Konami,2D Beat-'Em-Up,Rated E For Everyone,7.9,10
BattleForge,3/23/2009,EA Phenomic,Electronic Arts,Real-Time Strategy,Rated T For Teen,8,24
Ketzal's Corridors,4/12/2012,Keys Factory,Nintendo,Action Puzzle,Rated E For Everyone,7.6,19
Spring Break,9/10/2002,Deep Red,Eidos Interactive,Tycoon,Rated T For Teen,6,
Blue Reflection,9/26/2017,Gust,Koei Tecmo Games,JRPG,Rated T For Teen,7.2,59
WrestleQuest,8/22/2023,Mega Cat Studios,Skybound Games,JRPG,,6.7,6
Attack on Titan 2: Final Battle,7/5/2019,Omega Force,Koei Tecmo Games,Action Adventure,Rated M For Mature,8.2,62
AiRace Xeno,6/12/2014,QubicGames,QubicGames,Future Racing,Rated E For Everyone,6.8,8
Europa Universalis III,1/23/2007,Paradox Development Studio,Paradox Interactive,Strategy,Rated E For Everyone,8.7,182
Outlaw Golf 2,10/21/2004,Hypnotix,Global Star Software,Golf,Rated M For Mature,,
Recettear: An Item Shop's Tale,9/10/2010,EasyGameStation,Carpe Fulgur,Virtual Life,,8.7,193
The Elder Scrolls III: Morrowind - Game of the Year Edition,10/31/2003,Bethesda Softworks,Bethesda Softworks,Western RPG,Rated T For Teen,8.5,128
Myst III: Exile,5/8/2001,Presto Studios,Ubisoft,First-Person Adventure,Rated E For Everyone,7.8,57
Total War: PHARAOH,10/11/2023,Creative Assembly,Sega,Turn-Based Strategy,Rated T For Teen,5.8,46
HueBrix,9/6/2012,Yellow Monkey Studios Pvt. Ltd.,Yellow Monkey Studios Pvt. Ltd.,Logic Puzzle,,6.5,11
Dissidia: Final Fantasy,8/25/2009,Square Enix,Square Enix,3D Fighting,Rated T For Teen,8.2,278
Desperados III,6/16/2020,Mimimi Games,THQ Nordic,Real-Time Tactics,Rated M For Mature,8.3,737
Ixion,12/7/2022,Bulwark Studios,Kasedo Games,Management,,7.1,34
Ninja Gaiden 3: Razor's Edge,11/18/2012,Team Ninja,Nintendo,Action Adventure,Rated M For Mature,7.4,135
Renowned Explorers: International Society,9/2/2015,Abbey Games,Abbey Games,Real-Time Tactics,,6.4,80
Conan Chop Chop,3/1/2022,Mighty Kingdom,Funcom,Action RPG,,3.6,5
Gungnir,6/12/2012,Sting,Atlus,Turn-Based Tactics,Rated T For Teen,8.3,34
Bright Memory: Infinite,11/11/2021,FYQD-Studio,Playism,FPS,,7.1,105
Hardware: Rivals,1/5/2016,SCEA,SCEA,Vehicle Combat Sim,Rated E +10 For Everyone +10,5.1,87
Minecraft: Story Mode - Episode 5: Order Up!,3/29/2016,Telltale Games,Telltale Games,Point-and-Click,Rated E +10 For Everyone +10,7,21
Ancestors: The Humankind Odyssey,8/27/2019,Panache Digital Games,Private Division,Survival,Rated T For Teen,5.8,288
The King of Fighters 2006,9/19/2006,SNK Playmore,SNK Playmore,3D Fighting,Rated T For Teen,8.4,19
Kirby and the Forgotten Land,3/25/2022,HAL Labs,Nintendo,3D Platformer,Rated E +10 For Everyone +10,8.8,802
Might & Magic: Heroes VI - Shades of Darkness,5/2/2013,Virtuos,Ubisoft,Turn-Based Strategy,Rated T For Teen,5.4,86
Fruit Ninja Kinect 2,3/18/2015,Halfbrick Studios,Halfbrick Studios,Arcade,Rated E For Everyone,7.1,11
The Italian Job,6/24/2003,Climax Studios,Eidos Interactive,Auto Racing,Rated T For Teen,6.7,6
Dynasty Warriors 3,11/26/2001,Omega Force,Koei,3D Beat-'Em-Up,Rated T For Teen,7.8,50
Soul Sacrifice,4/30/2013,SCE Japan Studio,SCEA,Action RPG,Rated M For Mature,8.2,313
Cyber Shadow,1/26/2021,"Aarne ""MekaSkull"" Hunziker",Yacht Club Games,2D Platformer,Rated E +10 For Everyone +10,7.3,64
N++: Ultimate Edition,5/24/2018,Metanet Software Inc.,Metanet Software Inc.,2D Platformer,Rated E +10 For Everyone +10,8.2,18
Just Dance 3,10/7/2011,Ubisoft,Ubisoft,Dancing,Rated E +10 For Everyone +10,7.7,19
Batman: Arkham Knight,6/23/2015,Rocksteady Studios,Warner Bros. Interactive Entertainment,Open-World Action,Rated M For Mature,8.1,5349
They Bleed Pixels,8/29/2012,Spooky Squid Games,Spooky Squid Games,2D Platformer,,7.4,91
How to Survive 2,2/6/2017,505 Games,505 Games,Survival,Rated M For Mature,5.9,36
Naruto: Clash of Ninja Revolution,10/23/2007,Eighting,Tomy Corporation,3D Fighting,Rated T For Teen,7.6,19
Monster Rancher 4,11/13/2003,Tecmo,Tecmo,Strategy,Rated E For Everyone,7,12
Shattered Galaxy,8/21/2001,Nexon,Nexon,MMORPG,Rated T For Teen,4,10
The Outer Worlds: Murder on Eridanos,3/17/2021,Obsidian Entertainment,Private Division,Western RPG,,7.6,40
Disney's Hide & Sneak,11/30/2003,Capcom,Capcom,Linear Action Adventure,Rated E For Everyone,,
Etrian Odyssey,5/15/2007,Atlus,Atlus,JRPG,Rated T For Teen,7.9,31
Might & Magic X: Legacy,1/23/2014,Limbic Entertainment,Ubisoft,Turn-Based Strategy,,7.3,342
Little Acorns,2/16/2012,Team Pesky,Chillingo,Puzzle,,,
SX Superstar,6/30/2003,Acclaim,Acclaim,Arcade Racing,Rated T For Teen,,
Hard West,11/18/2015,CreativeForge Games,Gambitious,Turn-Based Tactics,,7.3,177
Siegecraft TD,6/27/2013,,,Defense,,,
Art of Murder: FBI Confidential,7/29/2008,City Interactive,Pinnacle,Third-Person Adventure,Rated T For Teen,5.2,21
Putty Squad,3/11/2014,System 3,Maximum Games,2D Platformer,Rated E +10 For Everyone +10,3,53
Crimson Alliance,9/7/2011,Certain Affinity,Certain Affinity,Action Adventure,Rated T For Teen,7.2,39
South Park: The Fractured But Whole,10/17/2017,Ubisoft San Francisco,Ubisoft,RPG,Rated M For Mature,7.8,608
Rubik's Puzzle Galaxy: RUSH,12/14/2009,Two Tribes,The Game Factory,Puzzle,Rated E For Everyone,,
Whiplash,11/18/2003,Crystal Dynamics,Eidos Interactive,3D Platformer,Rated T For Teen,6.7,12
College Hoops 2K6,11/21/2005,2K Sports,2K Sports,Basketball Sim,Rated E For Everyone,,
Super Hydorah,9/20/2017,Locomalito,Abylight,Horizontal Shoot-'Em-Up,Rated T For Teen,6.9,8
The LEGO NINJAGO Movie Video Game,9/22/2017,TT Games,Warner Bros. Interactive Entertainment,Linear Action Adventure,Rated E +10 For Everyone +10,5.9,78
Bombshell (2016),1/29/2016,Interceptor Entertainment,3D Realms,Action RPG,Rated M For Mature,3.8,99
The Caligula Effect,5/2/2017,Aquria,Atlus,JRPG,Rated T For Teen,7,22
Sid Meier's Antietam!,12/10/1999,Firaxis Games,Firaxis Games,Real-Time Strategy,Rated E For Everyone,,
NHL 12,9/13/2011,Electronic Arts,Electronic Arts,Hockey Sim,Rated E +10 For Everyone +10,7.1,76
LEGO DC Super-Villains,10/16/2018,TT Games,Warner Bros. Interactive Entertainment,Action Adventure,Rated E +10 For Everyone +10,6.5,255
MotoGP 20,4/23/2020,Milestone S.r.l,Milestone S.r.l,Auto Racing Sim,Rated E For Everyone,7.3,28
TrackMania 2 Canyon,9/14/2011,Nadeo,Ubisoft,Auto Racing,Rated E For Everyone,7.7,114
Papa Pear Saga,11/27/2013,King.com,King.com,Action Puzzle,,2.6,13
GRIS,12/13/2018,Nomada Studio,Devolver Digital,2D Platformer,Rated E For Everyone,8.3,426
Shovel Knight Showdown,12/10/2019,Yacht Club Games,Yacht Club Games,2D Platformer,Rated E +10 For Everyone +10,7.1,9
Tower of Fantasy,8/10/2022,Hotta Studio,Level Infinite,MMORPG,,3.8,94
Sacred 3,7/31/2014,Deep Silver,Deep Silver,Action RPG,Rated M For Mature,1.5,527
Tenchu: Wrath of Heaven,3/3/2003,K2 LLC,Activision,Action Adventure,Rated M For Mature,8.5,55
The Sims 4: Cats & Dogs,11/10/2017,Maxis,Electronic Arts,Virtual Life,Rated T For Teen,5.1,69
Brute Force,5/27/2003,Digital Anvil,Microsoft Game Studios,Tactical Third Person Shooter,Rated M For Mature,8.2,30
Cloud Gardens,6/16/2022,Noio,Coatsink Software,Puzzle,Rated E For Everyone,,
Walt Disney World Quest: Magical Racing Tour,7/19/2000,Crystal Dynamics,Eidos Interactive,Arcade Racing,Rated E For Everyone,8,5
The Witcher Battle Arena,1/21/2015,Fuero Games,CD Projekt Red Studio,MOBA,,5.4,25
Ghostbusters: Sanctum of Slime,3/23/2011,Behavior Studios,Atari SA,Action Adventure,Rated E +10 For Everyone +10,3.4,23
Coded Arms: Contagion,9/18/2007,Creat Studios,Konami,FPS,Rated T For Teen,6,6
Dragon Ball Z: Budokai 3,11/16/2004,Dimps Corporation,Atari SA,3D Fighting,Rated T For Teen,8.7,206
Sea of Thieves,3/20/2018,Rare Ltd.,Microsoft Game Studios,Open-World Action,Rated T For Teen,5.4,2273
Minotaur Rescue,1/5/2011,Llamasoft,Llamasoft,Top-Down Shoot-'Em-Up,,,
Stretch Panic,8/28/2001,Treasure,Conspiracy Entertainment,Action Adventure,Rated T For Teen,8,6
Guitar Hero II,11/7/2006,Harmonix Music Systems,RedOctane,Rhythm,Rated T For Teen,8.2,137
Call of Duty: Black Ops Zombies,12/1/2011,Treyarch,Activision,FPS,,6.3,27
Carmageddon: Reincarnation,5/21/2015,Stainless Games,Stainless Games,Vehicle Combat Sim,,4.4,168
New World Order,3/18/2003,Termite Games,Strategy First,Tactical FPS,Rated M For Mature,4,7
Titan Quest,6/26/2006,Iron Lore Entertainment,THQ,Action RPG,Rated T For Teen,7.9,424
Steal Princess,5/19/2009,Climax Entertainment,Atlus,3D Platformer,Rated E +10 For Everyone +10,,
Art Style: BASE 10,7/6/2009,Skip Ltd.,Nintendo,Action Puzzle,Rated E For Everyone,,
Breath of Fire: Dragon Quarter,2/16/2003,Capcom,Capcom,JRPG,Rated T For Teen,6.3,41
Fuzion Frenzy,11/14/2001,Blitz Games,Microsoft Game Studios,Party,Rated E For Everyone,7.4,22
Your Shape: Fitness Evolved,11/4/2010,Ubisoft Montreal,Ubisoft,Exercise,Rated E For Everyone,8.1,23
Dishonored: Definitive Edition,8/25/2015,Arkane Studios,Bethesda Softworks,Action Adventure,Rated M For Mature,8.4,557
"Codename: Panzers, Phase One",9/30/2004,Stormregion,cdv Software,Real-Time Strategy,Rated T For Teen,8.4,36
GigaBash,8/5/2022,Passion Republic,Passion Republic,3D Fighting,Rated E +10 For Everyone +10,5.8,8
2-bit Cowboy,5/8/2014,,,2D Platformer,,,
Big Rumble Boxing: Creed Champions,9/3/2021,Survios,Survios,Combat Sport,Rated T For Teen,6.6,5
SimCity 4: Rush Hour,9/22/2003,Maxis,Electronic Arts,Management,Rated E For Everyone,8.2,43
Dungeons 4,11/9/2023,Realmforge Studios,Kalypso,Strategy,,8.8,10
Dexter's Laboratory: Deesaster Strikes!,9/26/2001,Virtucraft,Bam Entertainment,Linear Action Adventure,Rated E For Everyone,,
Empire Earth: The Art of Conquest,9/17/2002,Mad Doc Software,Sierra Entertainment,Real-Time Strategy,Rated T For Teen,8.5,31
F1 2019,6/25/2019,Codemasters,Codemasters,Auto Racing Sim,Rated E For Everyone,7.6,123
Final Fantasy Tactics,10/9/2007,TOSE,Square Enix,Turn-Based Tactics,Rated T For Teen,9,375
Green Hell VR,6/9/2022,Incuvo,Incuvo,Survival,,7.9,10
Rainswept,2/1/2019,Frostwood Interactive,Frostwood Interactive,Adventure,,7.2,19
3D Dot Game Heroes,5/11/2010,Silicon Studio,Atlus,Action RPG,Rated E +10 For Everyone +10,7.5,82
Total War: WARHAMMER II - Curse of the Vampire Coast,11/8/2018,Creative Assembly,Sega,Real-Time Tactics,,7.6,30
Serious Sam's Bogus Detour,6/20/2017,Crackshell,Devolver Digital,Top-Down Shoot-'Em-Up,,8.3,26
Breach & Clear,7/17/2013,Mighty Rabbit Studios,Gun Interactive,Turn-Based Tactics,,6.2,13
Samurai Jack: Battle Through Time,8/21/2020,Soleil Ltd.,Adult Swim,Action Adventure,Rated T For Teen,7.5,88
112 Operator,4/23/2020,Jutsu Games,Games Operators,Strategy,,7.2,29
Ghostbusters: The Video Game Remastered,10/4/2019,Saber Interactive,Saber Interactive,Action,Rated T For Teen,7.2,68
Sky Force Reloaded,2/1/2018,Infinite Dreams,Infinite Dreams,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,7.5,25
Chibi-Robo,2/6/2006,Skip Ltd.,Nintendo,Action Adventure,Rated E +10 For Everyone +10,8.9,42
The Book of Unwritten Tales 2,2/19/2015,KING Art,THQ Nordic,Point-and-Click,,7.7,90
Garfield: A Tail of Two Kitties,10/17/2006,Two Tribes,The Game Factory,3D Platformer,Rated E For Everyone,,
Retro/Grade,8/21/2012,24 Caret Games,24 Caret Games,Rhythm,Rated E For Everyone,6.8,19
Dragon Age: Inquisition - Trespasser,9/9/2015,BioWare,BioWare,Western RPG,,7.7,143
Dark Souls II: Crown of the Sunken King,7/22/2014,Namco Bandai Games,Bandai Namco Games,Action RPG,Rated T For Teen,7.4,220
Pathway,4/11/2019,Robotality,Chucklefish,Turn-Based Tactics,,6.6,39
Empire of the Ants (2001),7/17/2001,Microids,Strategy First,Command RTS,Rated E For Everyone,4.8,5
NHL FaceOff 2003,11/5/2002,989 Sports,SCEA,Hockey Sim,Rated E For Everyone,,
Tom Clancy's Ghost Recon: Desert Siege,3/27/2002,Red Storm Entertainment,Ubisoft,Tactical FPS,Rated M For Mature,6.6,21
Drakengard,3/2/2004,Cavia Inc.,Square Enix,Action RPG,Rated M For Mature,7.8,146
Neverwinter Nights: Hordes of the Underdark,12/2/2003,BioWare,Atari SA,Western RPG,Rated T For Teen,8.3,133
Driftmoon,10/2/2012,Instant Kingdom,Instant Kingdom,RPG,,7.4,36
Lupin the 3rd: Treasure of the Sorcerer King,2/11/2004,Banpresto,Bandai,Action Adventure,Rated T For Teen,6.5,
Golden Force,1/28/2021,Storybird,Just For Games,2D Platformer,Rated M For Mature,,
void tRrLM(); //Void Terrarium,7/14/2020,Nippon Ichi Software,NIS America,Roguelike,Rated T For Teen,7,9
Dungeon Souls,12/2/2016,Mike Studios,Black Shell Games,Top-Down Shoot-'Em-Up,,6,13
Micro Machines V4,6/27/2006,Supersonic Software,Codemasters,Auto Racing,Rated E For Everyone,8.1,8
Mass Effect 2: Lair of the Shadow Broker,9/7/2010,BioWare,Electronic Arts,Action RPG,Rated M For Mature,8.5,180
JoJo's Bizarre Adventure: All-Star Battle,4/29/2014,CyberConnect2,Bandai Namco Games,3D Fighting,Rated T For Teen,7.9,98
Heroes Chronicles: Conquest of the Underworld,9/27/2000,3DO,3DO,Strategy,Rated E For Everyone,6.8,12
Heart&Slash,6/24/2016,AHEARTFULOFGAMES,Badland Games,3D Beat-'Em-Up,Rated E +10 For Everyone +10,7.4,5
Birushana: Rising Flower of Genpei,6/28/2022,Otomate,Idea Factory,Visual Novel,Rated T For Teen,,
NBA,3/16/2005,989 Sports,SCEA,Basketball Sim,Rated E For Everyone,,
Tenkai Knights: Brave Battle,10/7/2014,Bandai Namco Games,Bandai Namco Games,Action,Rated E +10 For Everyone +10,2.8,34
Girls Like Robots,10/11/2012,Adult Swim,Adult Swim,Puzzle,,6.7,11
Dillon's Rolling Western,2/22/2012,Vanpool,Nintendo,Action,Rated E +10 For Everyone +10,7.6,36
FIFA Street,2/22/2005,EA Canada,EA Sports Big,Soccer,Rated E For Everyone,7.8,36
LittleBigPlanet 3,11/18/2014,Sumo Digital,SCEA,2D Platformer,Rated E For Everyone,7.1,779
Army Men: Air Attack,7/18/2000,3DO,3DO,Aircraft Combat Sim,Rated T For Teen,7.8,8
Cotton Reboot!,7/20/2021,"Rocket-Engine Co.,Ltd.",ININ Games,Horizontal Shoot-'Em-Up,Rated E +10 For Everyone +10,7.6,9
Persona 3: Dancing in Moonlight,12/4/2018,Atlus,Atlus,Rhythm,Rated T For Teen,6.6,89
NBA Starting Five,10/27/2002,Konami,Konami,Basketball Sim,Rated E For Everyone,,
Oozi: Earth Adventure,9/16/2012,Awesome Games Studio,Awesome Games Studio,Compilation,,6.8,17
Stella Deus: The Gate of Eternity,4/26/2005,Pinegrow,Atlus,Turn-Based Tactics,Rated T For Teen,8.3,23
TY the Tasmanian Tiger,10/9/2002,Krome Studios,EA Games,3D Platformer,Rated E For Everyone,8.5,42
Manic Monkey Mayhem,5/24/2010,The Code Monkeys,The Code Monkeys,Action,Rated E For Everyone,,
Hollow Knight: Voidheart Edition,9/25/2018,Team Cherry,Team Cherry,Metroidvania,Rated E +10 For Everyone +10,8.9,270
The Walking Dead: Season Two Episode 5 - No Going Back,8/26/2014,Telltale Games,Telltale Games,Point-and-Click,Rated M For Mature,8.1,362
Sword Art Online: Alicization Lycoris,7/10/2020,Aquria,Bandai Namco Games,JRPG,Rated T For Teen,5.8,89
No Place for Bravery,9/22/2022,Glitch Factory,Ysbryd Games,Action Adventure,Rated M For Mature,,
Rush'n Attack,5/23/2007,Digital Eclipse,Konami,2D Platformer,Rated E +10 For Everyone +10,,
Trials of Fire,4/9/2021,Whatboy Games,Whatboy Games,Turn-Based Tactics,,6.9,16
Octomania,3/31/2008,Compile Heart,Conspiracy Entertainment,Puzzle,Rated E For Everyone,,
Red Faction: Guerrilla - Demons of the Badlands,8/13/2009,Volition Inc.,THQ,Third Person Shooter,Rated M For Mature,3.7,7
Tearaway,11/22/2013,Media Molecule,SCEA,3D Platformer,Rated E For Everyone,8.9,479
Risk of Rain Returns,11/8/2023,Hopoo Games,Gearbox Publishing,2D Platformer,Rated T For Teen,8.3,30
Atelier Mysterious Trilogy Deluxe Pack,4/22/2021,Gust,Koei Tecmo Games,Compilation,Rated T For Teen,8.1,10
Sly Cooper: Thieves in Time,2/5/2013,Sanzaru Games,SCEA,Action Adventure,Rated E +10 For Everyone +10,8.2,485
Scourge: Outbreak,7/3/2013,Tragnarion Studios,UFO Interactive,Third Person Shooter,Rated M For Mature,6.8,52
Hasbro Family Game Night: Battleship,3/18/2009,Electronic Arts,Electronic Arts,Board,Rated E For Everyone,,
Worms 3,8/8/2013,Team17,Team17,Artillery,,6.7,9
Little Dragons Cafe,8/24/2018,Aksys Games,Aksys Games,Tycoon,Rated E +10 For Everyone +10,6.9,28
Call of Duty: Modern Warfare 3 - Defiance,9/22/2011,n-Space,Activision,FPS,Rated T For Teen,1.4,275
The Turing Test,8/30/2016,Bulkhead Interactive,Square Enix,FPS,Rated E +10 For Everyone +10,6.8,138
SSX Tricky,11/5/2001,EA Canada,EA Sports Big,Skiing,Rated E For Everyone,8.7,103
Mega Man Battle Network 2,6/17/2002,Capcom,Capcom,Action RPG,Rated E For Everyone,7.1,43
Tekken 3,4/29/1998,Namco,Namco,3D Fighting,Rated T For Teen,9,959
Spiritfarer,8/18/2020,Thunder Lotus Games,Thunder Lotus Games,Sandbox,Rated T For Teen,8.1,228
Danger Zone,5/30/2017,Three Fields Entertainment,Three Fields Entertainment,Vehicle Sim,Rated E +10 For Everyone +10,6,11
The Mighty Quest for Epic Loot,11/18/2013,Ubisoft Montreal,Ubisoft,Action Adventure,Rated T For Teen,5.7,97
Monster 4x4: Masters of Metal,12/10/2003,Ubisoft,Ubisoft,Auto Racing Sim,Rated E For Everyone,,
Alien Swarm (2010),7/19/2010,Valve Software,Valve Software,Tactical Third Person Shooter,,7.8,333
Nosferatu: The Wrath of Malachi,10/19/2003,Idol FX,iGames,FPS,Rated M For Mature,7.4,52
The Last Oricru,10/13/2022,GoldKnights Studio,Prime Matter,Action RPG,,7,24
Turok 3: Shadow of Oblivion (2000),9/6/2000,Acclaim Studios Austin,Acclaim,FPS,Rated M For Mature,7.3,29
Ace Combat 6: Fires of Liberation,10/23/2007,Project Aces,Namco Bandai Games,Aircraft Combat Sim,Rated T For Teen,7.4,72
Memoranda,1/25/2017,Bit Byterz,Digital Dragon,Point-and-Click,,6.7,13
I Am Setsuna,7/19/2016,Tokyo RPG Factory,Square Enix,JRPG,Rated E +10 For Everyone +10,7.4,201
Descent 3,6/17/1999,Outrage Games,Interplay,FPS,Rated T For Teen,7.5,45
STASIS: BONE TOTEM,5/31/2023,THE BROTHERHOOD,THE BROTHERHOOD,Point-and-Click,,8.2,52
Agent A: A Puzzle In Disguise,8/29/2019,Yak & Co,Yak & Co,Puzzle,Rated E +10 For Everyone +10,7.6,35
Cricket 24,10/5/2023,Big Ant Studios,Nacon,Cricket,Rated E For Everyone,3.6,7
Section 8,9/1/2009,TimeGate Studios,SouthPeak Games,FPS,Rated T For Teen,7,17
Atomic Betty,10/25/2005,Big Blue Bubble Inc.,Namco,2D Platformer,Rated E For Everyone,,
Duke Nukem Forever: The Doctor Who Cloned Me,12/13/2011,Gearbox Software,2K Games,FPS,Rated M For Mature,6.9,27
John Daly's ProStroke Golf,10/5/2010,Gusto Games,O-Games,Golf Sim,Rated E For Everyone,4.3,10
Madden NFL 16,8/25/2015,EA Sports,EA Sports,Football Sim,Rated E For Everyone,5.8,202
Livelock,8/30/2016,Tuque Games,Perfect World Entertainment,Top-Down Shoot-'Em-Up,Rated T For Teen,7.6,40
Vaporum,4/9/2019,Fatbot Games,Fatbot Games,Action RPG,Rated T For Teen,4.7,15
