Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count
SaGa Scarlet Grace: Ambitions,12/3/2019,Square Enix,Square Enix,JRPG,Rated T For Teen,6.3,16
Haven Park,8/5/2021,Bubble Studio,Mooneye Studios,Third-Person Adventure,Rated E For Everyone,7.5,11
Capsized,7/5/2013,Koolhaus Games,Namco Bandai Games,2D Platformer,Rated T For Teen,6.8,20
Pipe Mania,9/26/2008,Razorworks,Empire Interactive,Action Puzzle,Rated E For Everyone,,
The Godfather,3/21/2006,Page 44 Studios,Electronic Arts,Open-World Action,Rated M For Mature,8.1,14
Raiden IV x Mikado Remix,1/31/2023,Moss,NIS America,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,,
Frostpunk,4/24/2018,11 bit studios,Merge Games,Management,Rated M For Mature,8.4,1009
Phantasy Star Universe,10/25/2006,Sonic Team,Sega,Action RPG,Rated T For Teen,7.1,23
Disney/Pixar Toy Story Racer,3/5/2001,Traveller's Tales,Activision,Auto Racing,Rated E For Everyone,8,22
Harry Potter for Kinect,10/9/2012,Eurocom,Warner Bros. Interactive Entertainment,Action Adventure,Rated E +10 For Everyone +10,4.7,21
Narco Terror,7/31/2013,Koch Media,Deep Silver,Third Person Shooter,Rated M For Mature,5.9,13
Medieval Dynasty,12/17/2020,Render Cube,Toplitz Productions,Survival,Rated T For Teen,6.4,83
Max: The Curse of Brotherhood,12/20/2013,Press Play,Microsoft Game Studios,Action Adventure,Rated E +10 For Everyone +10,7.4,309
Need for Speed: ProStreet,11/15/2007,EA Black Box,EA Games,Auto Racing Sim,Rated E +10 For Everyone +10,7,73
Saints Row IV: Re-Elected & Gat Out of Hell,1/20/2015,Volition Inc.,Deep Silver,Open-World Action,Rated M For Mature,6.6,48
Monster Jam Steel Titans 2,3/2/2021,Rainbow Studios,THQ Nordic,Auto Racing,Rated E For Everyone,4.6,5
Picross S 3,4/25/2019,Jupiter Corporation,Jupiter Corporation,Logic Puzzle,Rated E For Everyone,8.3,14
Mighty Goose,6/5/2021,Blastmode,Playism,2D Platformer,Rated E +10 For Everyone +10,7.5,13
World War II: Frontline Command,6/27/2003,The Bitmap Brothers,Strategy First,Real-Time Strategy,Rated T For Teen,6,
Vempire,10/22/2009,impressionware,impressionware,Logic Puzzle,Rated E For Everyone,,
World War II: Prisoner of War,8/26/2002,Wide Games,Codemasters,Third Person Shooter,Rated T For Teen,5.5,
ESPN Final Round Golf 2002,8/28/2001,Konami Computer Entertainment Nagoya,Konami,Golf Sim,Rated E For Everyone,,
Tak and the Power of Juju,10/15/2003,Avalanche Software,THQ,3D Platformer,Rated E For Everyone,7.6,12
Game of Thrones,5/15/2012,Cyanide,Atlus,Western RPG,Rated M For Mature,5.2,130
Where's My Perry?,6/28/2012,,,Puzzle,Rated RP For Rate Pending,6.6,9
Bleach: The Blade of Fate,10/9/2007,Treasure,Sega,2D Fighting,Rated T For Teen,6.1,19
EGGLIA Rebirth,2/10/2022,Brownies,Brownies,JRPG,Rated E For Everyone,,
Wonderputt,9/13/2012,Damp Gnat Ltd,Damp Gnat Ltd,Adventure,,,
