title,releasedate,developer,publisher,genres,productrating,userscore,userratingscount,id
Prison Break: The Conspiracy,2010-04-01,ZootFly,Deep Silver,Adventure,Rated T For Teen,4.9,18,10241
Cloudbuilt,2014-03-20,Coilworks,Rising Star Games,Action,Rated E +10 For Everyone +10,7.6,37,10242
Bloodline Champions,2011-01-13,Stunlock Studios,Funcom,MOBA,,7.7,96,10243
Future Unfolding,2017-03-15,Spaces of Play,Spaces of Play,Open-World Action,,6.6,15,10244
Critter Escape,2012-08-16,Kiz Studios,Chillingo,Adventure,,,,10245
The Punisher,2005-01-17,Volition Inc.,THQ,Third Person Shooter,Rated M For Mature,8.3,27,10246
AereA,2017-06-30,Triangle Studios,Soedesco,Action RPG,Rated E +10 For Everyone +10,4.5,16,10247
Company of Heroes 3,2023-02-23,Relic Entertainment,Sega,Real-Time Strategy,Rated M For Mature,4.7,109,10248
Heat Signature,2017-09-21,Tom Francis,Tom Francis,Action,,7.2,33,10249
Monster Hunter Stories,2017-09-08,Capcom,Nintendo,JRPG,Rated E +10 For Everyone +10,8.2,113,10250
Castlevania: Dawn of Sorrow,2005-10-04,Konami,Konami,Metroidvania,Rated T For Teen,8.5,201,10251
The Crew,2014-12-02,Ivory Tower,Ubisoft,Auto Racing Sim,Rated T For Teen,5.4,690,10252
The Warlock of Firetop Mountain,2016-08-31,Tin Man Games,Tin Man Games,Western RPG,,6.8,13,10253
Kakuto Chojin,2002-11-11,DreamFactory,Microsoft Game Studios,3D Fighting,Rated T For Teen,5.8,,10254
Naruto: Ultimate Ninja Heroes,2007-08-28,CyberConnect2,Namco Bandai Games,3D Fighting,Rated T For Teen,6.1,18,10255
The Room,2018-10-18,Fireproof Games,Team17,Adventure,Rated E For Everyone,8,26,10256
Command & Conquer: Red Alert 3,2008-10-28,EA LA,Electronic Arts,Real-Time Strategy,Rated T For Teen,7,448,10257
Ratchet & Clank Future: Quest for Booty,2008-08-21,Insomniac Games,SCEA,3D Platformer,Rated E +10 For Everyone +10,7.4,223,10258
Silent Hill 2: Director's Cut,2002-12-02,Creature Labs,Konami,Survival,Rated M For Mature,8.1,407,10259
Smash Cops,2012-01-18,Hutch,Hutch,Racing,,,,10260
I Am Dead,2020-10-08,Hollow Ponds and Richard Hogg,Annapurna Interactive,Adventure,Rated E +10 For Everyone +10,7.2,16,10261
Evil Dead: Regeneration,2005-09-13,Cranky Pants Games,THQ,Survival,Rated M For Mature,6.7,6,10262
Magus,2014-02-25,Black Tower Studios,Aksys Games,Action RPG,Rated T For Teen,4.3,25,10263
Ashes of the Singularity,2015-10-22,Oxide Games,Stardock,Command RTS,,6.8,91,10264
80 Days (2005),2005-12-12,Frogwares,Matrix Games,Third-Person Adventure,Rated T For Teen,7.8,15,10265
Warface,2013-10-21,Crytek,Crytek,FPS,Rated T For Teen,4.2,564,10266
Air Conflicts: Vietnam,2013-10-02,bitComposer,Kalypso,Aircraft Combat Sim,Rated T For Teen,3.1,29,10267
Zone of the Enders: The 2nd Runner,2003-03-10,KCEJ,Konami,Vehicle Combat Sim,Rated M For Mature,8.5,78,10268
Teenage Mutant Ninja Turtles: Shredder's Revenge - Dimension Shellshock,2023-08-31,Tribute Games,DotEmu,2D Beat-'Em-Up,,8,30,10269
Dr. Luigi,2013-12-31,Arika,Nintendo,Stacking Puzzle,Rated E For Everyone,7.3,69,10270
Frogger's Adventures: The Rescue,2003-10-29,Konami,Konami,3D Platformer,Rated E For Everyone,,,10271
The Simpsons: Tapped Out,2012-03-01,Electronic Arts,Electronic Arts,Management,,6.5,59,10272
Metal Slug Advance,2004-12-02,Noise Factory,SNK Playmore,Vertical Shoot-'Em-Up,Rated T For Teen,8.3,15,10273
Hearthstone: Heroes of Warcraft - The Grand Tournament,2015-08-24,Blizzard Entertainment,Blizzard Entertainment,Card Battle,,4,146,10274
NBA Ballers,2004-04-05,Midway,Midway,Basketball,Rated E For Everyone,7.2,9,10275
War of the Monsters,2003-01-14,Incognito Inc.,SCEA,3D Fighting,Rated T For Teen,8.3,39,10276
Ultimate Muscle: Legends vs New Generation,2003-06-05,Aki Corp.,Bandai,Wrestling,Rated T For Teen,,,10277
Glory of the Roman Empire,2006-07-03,Haemimont Games,cdv Software,Management,Rated E +10 For Everyone +10,7.1,7,10278
For the King,2018-04-19,IronOak Games,Curve Digital,Roguelike,Rated T For Teen,6.9,107,10279
Signalis,2022-10-27,rose-engine,Humble Games,Survival,Rated M For Mature,8.3,170,10280
Moto Racer Advance,2002-12-05,Adeline Software,Ubisoft,Auto Racing,Rated E For Everyone,,,10281
ORC: Vengeance,2012-07-26,Big Cave Games,Chillingo,Action RPG,,,,10282
Immortal Planet,2017-07-27,teedoubleuGAMES,teedoubleuGAMES,Action RPG,,6,8,10283
Feeding Frenzy,2006-03-10,Sprout Games,Oberon Media,Puzzle,Rated E For Everyone,6.6,17,10284
Asphalt: Urban GT,2004-11-17,Gameloft,Gameloft,Auto Racing,Rated E For Everyone,7.5,15,10285
Gabrielle's Ghostly Groove 3D,2011-10-04,Santa Entertainment,Natsume,Rhythm,Rated E For Everyone,7.4,9,10286
Dragon Ball: Fusions,2016-11-22,Ganbarion,Bandai Namco Games,Trainer RPG,Rated T For Teen,8,73,10287
Islets,2022-08-24,Kyle Thompson,Armor Games,Metroidvania,Rated E +10 For Everyone +10,8.1,11,10288
Monster Hunter Stories 2: Wings of Ruin,2021-07-09,Capcom,Capcom,JRPG,Rated E +10 For Everyone +10,6.3,230,10289
Shooting Stars!,2016-01-19,Bloodirony,Daedalic Entertainment,Action,,7,12,10290
Star Ocean: The Divine Force,2022-10-27,Tri-Ace,Square Enix,Action RPG,Rated T For Teen,6.5,174,10291
Airborne Kingdom,2020-12-17,The Wandering Band LLC,The Wandering Band LLC,Management,,7.2,34,10292
Shu,2018-01-23,Coatsink Software,Coatsink Software,2D Platformer,Rated E For Everyone,6.8,18,10293
Stoked,2009-02-26,Bongfish,Destineer,Skiing,Rated T For Teen,6.6,5,10294
As Far As The Eye,2020-09-10,Unexpected,Unexpected,Management,,7.3,13,10295
Project Eden,2001-10-22,Core Design Ltd.,Eidos Interactive,Action Adventure,Rated T For Teen,8.8,5,10296
Earthcore: Shattered Elements - Epic Card Battle Game (TCG),2015-05-20,Tequila Games Sp. z o.o.,Tequila Games Sp. z o.o.,Action,,6.9,15,10297
How to Survive,2014-08-29,EKO Software,505 Games,Survival,,7,307,10298
NBA Street Homecourt,2007-02-20,EA Canada,EA Sports Big,Basketball,Rated E For Everyone,6.7,16,10299
Catch The Candy,2011-05-12,Bulkypix,Bulkypix,Edutainment,,,,10300
Galaxy Warfighter,2020-04-16,Qplaze,JoyBits,Horizontal Shoot-'Em-Up,Rated E For Everyone,,,10301
MotoGP 10/11,2011-03-15,Monumental Games,Capcom,Auto Racing Sim,Rated E For Everyone,6.9,24,10302
Backyard Wrestling: Don't Try This at Home,2003-10-07,Paradox Development,Eidos Interactive,Wrestling,Rated M For Mature,5.1,9,10303
Art Style: ORBIENT,2008-09-29,Nintendo,Nintendo,Puzzle,Rated E For Everyone,,,10304
Joe Dever's Lone Wolf HD Remastered,2014-11-27,Forge Reply,505 Games,Action,,6.8,25,10305
Stronghold: Crusader Extreme,2008-06-02,FireFly Studios,Gamecock Media Group,Compilation,Rated T For Teen,6.2,58,10306
Law & Order: Dead on the Money,2002-09-24,Legacy Interactive,Legacy Interactive,First-Person Adventure,Rated T For Teen,5.9,9,10307
Batman: Dark Tomorrow,2003-03-18,Kemco,Kemco,Linear Action Adventure,Rated T For Teen,3.1,15,10308
"Warhammer 40,000: Darktide",2022-11-30,Fatshark,Fatshark,FPS,Rated M For Mature,5,162,10309
13 Sentinels: Aegis Rim,2020-09-22,Vanillaware,Sega,Adventure,Rated T For Teen,9,417,10310
Bladeslinger,2012-11-21,Kerosene,Kerosene,Adventure,,,,10311
Airborne Assault: Highway to the Reich,2003-12-10,Panther Games,Matrix Games,Real-Time Strategy,,5.6,5,10312
Metal Gear Acid,2005-03-22,Konami,Konami,Card Battle,Rated M For Mature,7.7,39,10313
Tengami,2014-02-19,Nyamyam,Nyamyam,Adventure,,6.6,14,10314
Voodoo Dice,2010-05-26,Exkee,Ubisoft,Puzzle,Rated E For Everyone,,,10315
Mega Jump 2,2014-01-15,,,Action,,,,10316
Kapital: Sparks of Revolution,2022-04-28,Lapovich,1C Entertainment,Management,,,,10317
Dragoneer's Aria,2007-08-21,Hit Maker,NIS America,JRPG,Rated E +10 For Everyone +10,6.4,5,10318
Sonic Boom: Rise of Lyric,2014-11-11,Big Red Button Entertainment,Sega,3D Platformer,Rated E +10 For Everyone +10,3.7,721,10319
NCAA March Madness 2005,2004-11-17,EA Canada,EA Sports,Basketball Sim,Rated E For Everyone,,,10320
Madden NFL 12,2011-08-30,EA Tiburon,EA Sports,Football Sim,Rated E For Everyone,6.2,109,10321
The World Next Door,2019-03-27,Rose City Games,VIZ Media,Action Adventure,Rated T For Teen,5.8,11,10322
Pikmin 3 Deluxe,2020-10-30,Eighting,Nintendo,Real-Time Strategy,Rated E +10 For Everyone +10,8.6,262,10323
Lost Ark,2022-02-11,Smilegate,Amazon Game Studios,MMORPG,Rated M For Mature,5.2,627,10324
King's Quest Chapter 5: The Good Knight,2016-10-25,The Odd Gentlemen,Sierra Games,Adventure,Rated E +10 For Everyone +10,5.8,18,10325
Jet Car Stunts 2,2014-01-02,True Axis,True Axis,Auto Racing,,,,10326
Dishonored 2,2016-11-10,Arkane Studios,Bethesda Softworks,Action Adventure,Rated M For Mature,8.5,2092,10327
Empire of Sin,2020-12-01,Romero Games Ltd.,Paradox Interactive,Turn-Based Tactics,Rated M For Mature,5.9,141,10328
Tearaway Unfolded,2015-09-08,Media Molecule,SCEA,3D Platformer,Rated E For Everyone,7.9,328,10329
The Tiny Bang Story,2011-04-22,Colibri Games,Colibri Games,Point-and-Click,,7,74,10330
The Baconing,2011-08-31,Hothead Games,Valcon Games,Action RPG,Rated T For Teen,5.4,8,10331
Shining Tears,2005-03-22,Nex Entertainment,Sega,Action RPG,Rated T For Teen,8.2,6,10332
Adrenalin Misfits,2010-11-04,Konami,Konami,Skiing,Rated E For Everyone,8.3,,10333
Just Dance,2009-11-17,Ubisoft Paris,Ubisoft,Dancing,Rated E +10 For Everyone +10,6.2,30,10334
Dreamfall Chapters Book Two: Rebels,2015-03-12,Red Thread Games,Red Thread Games,Third-Person Adventure,,7.8,75,10335
Legend of Dungeon,2013-09-13,Robot Loves Kitty,Robot Loves Kitty,2D Beat-'Em-Up,,7.4,56,10336
Manchester United Soccer 2005,2004-10-28,Codemasters,Codemasters,Soccer Sim,Rated E For Everyone,3.2,5,10337
Port Royale,2003-06-04,Ascaron Entertainment,Tri Synergy,Real-Time Strategy,Rated E For Everyone,7,20,10338
No Escape (2000),2000-11-30,Funcom,Funcom,Action,Rated T For Teen,,,10339
Firewatch,2016-02-09,Campo Santo,Panic Inc.,First-Person Adventure,,7.2,1607,10340
Magna Carta 2,2009-10-13,SoftMax,Namco Bandai Games,Action RPG,Rated T For Teen,6.4,37,10341
Dungelot: Shattered Lands,2016-02-18,Red Winter Software,tinyBuild,Turn-Based Tactics,,6.9,10,10342
Jewel Master: Egypt,2009-11-03,Cerasus Media,Storm City Games,Matching Puzzle,Rated E For Everyone,,,10343
Lumines Supernova,2008-12-23,Q Entertainment,Q Entertainment,Matching Puzzle,Rated E For Everyone,7.8,,10344
Genji: Dawn of the Samurai,2005-09-20,Game Republic,SCEA,Action Adventure,Rated M For Mature,8.9,29,10345
FIFA Street 2,2006-02-28,EA Canada,EA Sports Big,Soccer,Rated E For Everyone,7.6,8,10346
Ignite (2011),2011-10-28,Nemesys,Just A Game,Auto Racing,,6.2,26,10347
Defenders of Ardania,2012-03-14,Most Wanted Entertainment,Paradox Interactive,Defense,Rated T For Teen,7.7,7,10348
The Company Man,2022-01-21,Forust,Leoful,2D Platformer,Rated E +10 For Everyone +10,,,10349
Portal Runner,2001-09-10,3DO,3DO,3D Platformer,Rated E For Everyone,,,10350
Golf Story,2017-09-28,SideBar Games,SideBar Games,Action Adventure,Rated E For Everyone,8.2,345,10351
Super Monday Night Combat,2012-04-19,Uber Entertainment,Uber Entertainment,MOBA,,3.7,212,10352
Asterix & Obelix: Slap Them All!,2021-12-02,Mr.  Nutz Studio,Microids,2D Beat-'Em-Up,Rated E +10 For Everyone +10,6.4,20,10353
Dungeons of Dredmor,2011-07-13,Gaslamp Games,Gaslamp Games,Roguelike,,7.6,219,10354
SpongeBob Squigglepants,2011-04-12,WayForward,THQ,Miscellaneous,Rated E For Everyone,7.5,8,10355
King's Bounty: Crossworlds,2010-09-17,Katauri Interactive,1C Entertainment,Turn-Based Strategy,Rated T For Teen,8.4,131,10356
Crystar,2019-08-27,Gemdrops,Spike Chunsoft,Action RPG,Rated T For Teen,9.5,2256,10357
Lair of the Clockwork God,2020-02-21,Size Five Games,Size Five Games,Adventure,Rated T For Teen,8.4,28,10358
Boktai: The Sun Is in Your Hand,2003-09-16,KCEJ,Konami,Action Adventure,Rated E For Everyone,6.8,16,10359
Odama,2006-04-10,Vivarium,Nintendo,Pinball,Rated E +10 For Everyone +10,6.2,5,10360
Code Lyoko,2007-05-15,DC Studios,The Game Factory,Action RPG,Rated E +10 For Everyone +10,7.3,7,10361
Like a Dragon: Infinite Wealth,2024-01-26,Ryu ga Gotoku Studios,Sega,JRPG,Rated M For Mature,8.4,202,10362
Enclave,2002-07-29,Starbreeze,Conspiracy Entertainment,Action Adventure,Rated M For Mature,7.3,7,10363
NeverEnd (2006),2006-10-02,Mayhem Studios,DreamCatcher Interactive,JRPG,Rated T For Teen,3.4,5,10364
Paper Mario: Color Splash,2016-10-07,Intelligent Systems,Nintendo,JRPG,Rated E For Everyone,7.1,484,10365
EVERSPACE 2,2023-04-06,ROCKFISH Games,ROCKFISH Games,Space Combat Sim,,7.9,72,10366
Rush Bros,2013-01-29,XYLA Entertainment,XYLA Entertainment,2D Platformer,,4.9,29,10367
Comanche 4,2001-11-12,NovaLogic,NovaLogic,Aircraft Combat Sim,Rated T For Teen,7.9,21,10368
Disney's Tarzan Untamed,2001-11-17,Ubisoft Montreal,Ubisoft,Action Adventure,Rated E For Everyone,7.4,5,10369
Let's Golf 2,2010-07-22,Gameloft,Gameloft,Golf Sim,,6.2,6,10370
Sherlock Holmes: The Devil's Daughter,2016-10-25,Frogwares,Bigben Interactive,Third-Person Adventure,Rated T For Teen,6.9,198,10371
Total Immersion Racing,2002-11-20,Razorworks,Empire Interactive,Auto Racing Sim,Rated E For Everyone,7.8,5,10372
ESPN X Games Skateboarding,2001-08-13,KCEO,Konami,Skating,Rated E For Everyone,,,10373
Zeit Squared,2011-01-12,Brightside Games,Ubisoft,Vertical Shoot-'Em-Up,Rated E For Everyone,5.8,,10374
Snoopy Flying Ace,2010-06-02,Smart Bomb Interactive,Microsoft Game Studios,Aircraft Combat Sim,Rated E +10 For Everyone +10,7.9,11,10375
Blue Fire,2021-02-04,Robi Studios,Graffiti Games,3D Platformer,Rated E +10 For Everyone +10,7.5,58,10376
Luigi's Mansion,2018-10-12,GREZZO,Nintendo,Action Adventure,Rated E For Everyone,8.1,128,10377
Plants vs. Zombies Heroes,2016-10-18,PopCap,Electronic Arts,Card Battle,,5.9,52,10378
Mutant Storm Reloaded,2005-11-22,PomPom Games,PomPom Games,Top-Down Shoot-'Em-Up,Rated E For Everyone,6,6,10379
SpellForce III Reforced,2022-06-07,Grimlore Games,THQ Nordic,Real-Time Tactics,Rated M For Mature,7.2,10,10380
HarmoKnight,2013-03-28,Game Freak,Nintendo,Rhythm,Rated E For Everyone,7.4,48,10381
Dynasty Warriors: Strikeforce,2009-04-28,Omega Force,Koei,3D Beat-'Em-Up,Rated T For Teen,7.4,12,10382
Cycle 28,2018-08-02,Pill Bug Interactive,Pill Bug Interactive,Top-Down Shoot-'Em-Up,Rated E +10 For Everyone +10,,,10383
Flashback: 25th Anniversary,2018-06-17,Paul Cuisset,Microids,2D Platformer,Rated E +10 For Everyone +10,7.9,28,10384
"Casino, Inc.",2003-03-26,Hothouse Creations,Konami,Tycoon,Rated M For Mature,,,10385
Attack of the Friday Monsters! A Tokyo Tale,2013-07-18,Millennium Kitchen,Level 5,Adventure,Rated E For Everyone,7.5,58,10386
Madden NFL 22,2021-08-17,EA Tiburon,Electronic Arts,Football Sim,Rated E For Everyone,0.7,534,10387
The Elder Scrolls Online: Summerset,2018-05-21,ZeniMax Media,Bethesda Softworks,MMORPG,Rated M For Mature,6.1,141,10388
NHL 14,2013-09-10,Electronic Arts,Electronic Arts,Hockey Sim,Rated E +10 For Everyone +10,6.1,101,10389
Project CARS 3,2020-08-25,Slightly Mad Studios,Bandai Namco Games,Auto Racing Sim,,3.9,119,10390
Army Men: Air Attack 2,2001-03-27,3DO,3DO,Aircraft Combat Sim,Rated T For Teen,8.8,10,10391
Bomberman Act: Zero,2006-08-29,Hudson,Konami,Action Puzzle,Rated T For Teen,2.4,22,10392
Crookz: The Big Heist,2015-08-25,Skilltree Studios,Kalypso,Turn-Based Strategy,Rated T For Teen,7.1,18,10393
Hollow (2017),2018-02-22,MMEU,Forever Entertainment,Survival,Rated M For Mature,4.4,63,10394
Antipole (2011),2011-07-21,Saturnine Games,Saturnine Games,2D Platformer,Rated E For Everyone,,,10395
NFL Street,2004-01-13,EA Tiburon,EA Sports,Football,Rated E For Everyone,7,9,10396
The Eternal Castle Remastered,2019-01-05,Leonard Menchiari,Playsaurus,Adventure,,6.8,19,10397
Elite Warriors: Vietnam,2005-03-25,Nfusion,Bold Games,Third Person Shooter,Rated T For Teen,,,10398
Bloody Roar: Primal Fury,2002-03-28,Eighting,Activision,3D Fighting,Rated T For Teen,8.1,17,10399
Borderlands 3: Psycho Krieg and the Fantastic Fustercluck,2020-09-10,Gearbox Software,2K Games,FPS,Rated M For Mature,4.6,21,10400
Shantae,2021-04-22,WayForward,WayForward,2D Platformer,Rated E +10 For Everyone +10,7.6,17,10401
Buzz Aldrin's Space Program Manager,2014-10-31,Polar Motion,Slitherine,Turn-Based Strategy,,6.4,15,10402
Batman: Arkham Asylum,2009-08-25,Rocksteady Studios,Eidos Interactive,Action Adventure,Rated T For Teen,8.8,1530,10403
Drill Dozer,2006-02-06,Game Freak,Nintendo,2D Platformer,Rated E For Everyone,8.4,18,10404
Teslagrad,2013-12-13,Rain Games,Rain Games,2D Platformer,Rated E For Everyone,7.8,120,10405
The Quiet Man,2018-11-01,Human Head Studios,Square Enix,Linear Action Adventure,Rated M For Mature,1.8,167,10406
Grand Theft Auto Double Pack,2003-11-04,Rockstar Vienna,Rockstar Games,Compilation,Rated M For Mature,7.8,80,10407
MLB SlugFest 2006,2006-06-05,Blue Shift,Midway,Baseball,Rated E +10 For Everyone +10,,,10408
Assassin's Creed Origins: The Hidden Ones,2018-01-23,Ubisoft Montreal,Ubisoft,Open-World Action,Rated M For Mature,6.8,134,10409
Kine,2019-10-17,Gwen Frey,Chump Squad,Action Puzzle,Rated E For Everyone,,,10410
Thief of Thieves: Season One,2019-11-12,Rival Games Ltd,Skybound Games,Adventure,Rated M For Mature,,,10411
Overcooked! 2,2018-08-07,Ghost Town Games Ltd.,Team17,Arcade,Rated E For Everyone,7.9,158,10412
Ninja Gaiden II,2008-06-03,Team Ninja,Tecmo,Action Adventure,Rated M For Mature,8.1,189,10413
Pac-Man Fever,2002-09-02,Mass Media,Namco,Party,Rated E For Everyone,5.2,5,10414
Zubo,2009-03-10,EA Bright Light,Electronic Arts,Rhythm,Rated E +10 For Everyone +10,,,10415
LittleBigPlanet PS Vita,2012-09-18,Tarsier Studios,SCEA,3D Platformer,Rated E For Everyone,8.5,406,10416
Generation Zero,2019-03-26,Avalanche Studios,THQ Nordic,Open-World Action,Rated T For Teen,5.7,165,10417
Railroad Tycoon II: Gold Edition,2000-06-30,Tremor Entertainment,Gathering,Tycoon,,7.4,10,10418
Guitar Hero Encore: Rocks the 80s,2007-07-24,Harmonix Music Systems,Activision,Rhythm,Rated T For Teen,7,23,10419
Naval Ops: Commander,2004-03-09,Micro Cabin,Koei,Marine Combat Sim,Rated T For Teen,,,10420
Shadow Gambit: The Cursed Crew,2023-08-17,Mimimi Games,Mimimi Games,Real-Time Tactics,,7.5,53,10421
MotoGP,2002-05-19,Climax Studios,THQ,Auto Racing Sim,Rated E For Everyone,,,10422
ASTLIBRA Revision,2023-11-16,KEIZO,WhisperGames,Action RPG,Rated M For Mature,,,10423
River King: A Wonderful Journey,2006-03-28,Marvelous Entertainment,Natsume,Fishing,Rated E For Everyone,,,10424
Sonic Rivals 2,2007-11-13,Backbone Entertainment,Sega,Arcade Racing,Rated E For Everyone,7.7,52,10425
Magnetic Billiards: Blueprint,2011-07-16,Zee 3 Limited,Zee 3 Limited,Puzzle,,,,10426
Overlord Minions,2009-06-23,Climax Studios,Codemasters,Action Puzzle,Rated E +10 For Everyone +10,,,10427
Body and Brain Connection,2011-02-08,Namco Bandai Games,Namco Bandai Games,Logic Puzzle,Rated E For Everyone,4,5,10428
Unto The End,2020-12-09,2 Ton Studios,Big Sugar,Action Adventure,,5,12,10429
Moon Project,2001-03-11,TopWare Interactive,Game Studios,Command RTS,Rated T For Teen,7.2,25,10430
Old Gods Rising,2020-05-20,Bad Blood Studios,Bad Blood Studios,First-Person Adventure,,,,10431
Story of Seasons: Friends of Mineral Town,2020-07-14,Marvelous Inc.,XSEED Games,Tycoon,Rated E +10 For Everyone +10,8.1,76,10432
WWF No Mercy,2000-11-17,Aki Corp.,THQ,Wrestling,Rated T For Teen,8.1,79,10433
Stray Blade,2023-04-20,Point Blank Games,505 Games,Action RPG,,6.7,29,10434
Samurai Sword Destiny,2012-01-05,UFO Interactive,UFO Interactive,Action Adventure,Rated T For Teen,,,10435
Mini Motor Racing,2011-12-08,The Binary Mill,The Binary Mill,Auto Racing,,6.7,6,10436
RPM: Gymkhana Racing,2011-11-17,Bulkypix,Bulkypix,Auto Racing,,,,10437
Stronghold: Definitive Edition,2023-11-07,FireFly Studios,FireFly Studios,Real-Time Strategy,,8.6,9,10438
Rogue Stormers,2015-10-15,Black Forest Games,Black Forest Games,2D Platformer,Rated T For Teen,7.2,21,10439
Labyrinth of Galleria: The Moon Society,2023-02-14,Nippon Ichi Software,NIS America,JRPG,Rated M For Mature,8.4,7,10440
Etrian Odyssey IV: Legends of the Titan,2013-02-26,Atlus,Atlus,Western RPG,Rated T For Teen,8.3,178,10441
Gauntlet (1985),2005-11-22,Digital Eclipse,Midway,Top-Down Shoot-'Em-Up,Rated E For Everyone,6.3,6,10442
Tom Clancy's Rainbow Six 3,2003-11-12,Ubisoft,Ubisoft,Tactical FPS,Rated M For Mature,7.7,15,10443
101-in-1 Explosive Megamix,2009-04-21,Nordcurrent,Atlus,Party,Rated E For Everyone,,,10444
Just Dance 2018,2017-10-24,Ubisoft Paris,Ubisoft,Dancing,Rated E +10 For Everyone +10,5.6,42,10445
Dynasty Warriors (PSP),2005-03-16,Omega Force,Koei,3D Beat-'Em-Up,Rated T For Teen,5.6,10,10446
Ken Follett's The Pillars of the Earth,2017-08-15,Daedalic Entertainment,Daedalic Entertainment,Visual Novel,Rated M For Mature,8.1,96,10447
From Russia With Love,2005-11-01,EA Redwood Shores,Electronic Arts,Third Person Shooter,Rated T For Teen,7.1,11,10448
Discs of Tron,2008-02-13,Backbone Charlottetown,Disney Interactive Studios,Arcade,Rated E For Everyone,,,10449
Jolly Rover,2010-06-07,Brawsome,Brawsome,Point-and-Click,Rated E +10 For Everyone +10,7.4,28,10450
King's Field: The Ancient City,2002-03-25,From Software,Agetec,Western RPG,Rated T For Teen,8.4,29,10451
SteamWorld Dig 2,2017-09-21,Image & Form,Image & Form,Metroidvania,Rated E +10 For Everyone +10,8.5,391,10452
"Crouching Tiger, Hidden Dragon",2003-10-09,Genki,Ubisoft,3D Beat-'Em-Up,Rated T For Teen,,,10453
The Pinball HD,2010-04-22,OOO Gameprom,OOO Gameprom,Pinball,,,,10454
Inazuma Eleven Strikers,2011-07-16,Level 5,Level 5,Soccer,,8.2,31,10455
The Legend of Heroes: Trails from Zero,2022-09-27,Falcom,NIS America,JRPG,Rated T For Teen,7.5,28,10456
Labyrinth 2 (2009),2009-12-01,Illusion Labs,Illusion Labs,Action,,6.8,5,10457
Nex Machina: Death Machine,2017-06-20,Housemarque,Sony Interactive Entertainment,Top-Down Shoot-'Em-Up,Rated T For Teen,8,165,10458
Killer Is Dead,2013-08-27,Grasshopper Manufacture,XSEED Games,Action Adventure,Rated M For Mature,7.8,239,10459
NASCAR SimRacing,2004-08-31,EA Tiburon,EA Games,Auto Racing Sim,Rated E For Everyone,8.3,12,10460
Smash Cars,2003-08-13,Creat Studios,Metro3D,Vehicle Combat Sim,Rated E For Everyone,,,10461
Akai Katana,2012-05-15,Cave,Rising Star Games,Vertical Shoot-'Em-Up,Rated T For Teen,8.2,30,10462
Cy Girls,2004-03-23,KCEJ,Konami,Action Adventure,Rated M For Mature,,,10463
PlayStation Move Ape Escape,2011-07-05,SCE Japan Studio,SCEA,Party,Rated E +10 For Everyone +10,4.4,23,10464
NCAA College Football 2K2: Road to the Rose Bowl,2001-08-29,Visual Concepts,Sega,Football Sim,Rated E For Everyone,,,10465
The Book of Unwritten Tales,2011-10-28,KING Art,The Adventure Company,Adventure,Rated T For Teen,8.3,164,10466
Payday 2,2013-08-13,Overkill Software,505 Games,FPS,Rated M For Mature,4,4041,10467
Rad Rodgers,2018-02-21,THQ Nordic,THQ Nordic,2D Platformer,Rated M For Mature,5.8,16,10468
99Vidas,2017-07-18,QUByte Interactive,QUByte Interactive,2D Beat-'Em-Up,Rated T For Teen,6.4,43,10469
Fire Emblem Fates: Birthright,2016-02-19,Intelligent Systems,Nintendo,Turn-Based Tactics,Rated T For Teen,7.8,539,10470
Soltrio Solitaire,2007-05-16,Silver Creek Entertainment,Silver Creek Entertainment,Board,Rated E For Everyone,,,10471
A Short Hike,2020-08-18,adamgryu,Whippoorwill Limited,Adventure,Rated E For Everyone,8.6,253,10472
Laserlife,2015-09-22,Choice Provisions,Choice Provisions,Rail Shooter,Rated E For Everyone,,,10473
Bladed Fury,2018-12-17,NExT Studios,NExT Studios,2D Beat-'Em-Up,,8,16,10474
Digimon Story Cyber Sleuth,2016-02-02,Media.Vision,Bandai Namco Games,Trainer RPG,Rated T For Teen,8.1,444,10475
The Wolf Among Us: Episode 3 - A Crooked Mile,2014-04-08,Telltale Games,Telltale Games,Point-and-Click,Rated M For Mature,8.2,322,10476
Aarklash: Legacy,2013-09-12,Cyanide,Cyanide,Real-Time Tactics,,7.7,112,10477
Killzone: Mercenary,2013-09-10,Guerilla Cambridge,SCEA,FPS,Rated M For Mature,8.8,641,10478
Aspire: Ina's Tale,2021-12-17,Wondernaut Studio,Untold Tales,2D Platformer,Rated E +10 For Everyone +10,6.8,8,10479
Big Sky: Infinity,2012-12-11,Boss Baddie,Ripstone,Vertical Shoot-'Em-Up,Rated E For Everyone,5.2,32,10480
Shaq Fu: A Legend Reborn,2018-06-05,Big Deez Productions,Saber Interactive,2D Beat-'Em-Up,Rated T For Teen,5.4,31,10481
Deadpool,2013-06-25,High Moon Studios,Activision,Linear Action Adventure,Rated M For Mature,7.4,404,10482
Devil May Cry 2,2003-01-25,Capcom,Capcom,Linear Action Adventure,Rated M For Mature,6.1,474,10483
Advance Wars 2: Black Hole Rising,2003-06-24,Intelligent Systems,Nintendo,Turn-Based Tactics,Rated E For Everyone,8.2,86,10484
Wailing Heights,2016-04-27,Outsider Games,Outsider Games,Point-and-Click,,7,9,10485
World of Warcraft: Mists of Pandaria,2012-09-25,Blizzard Entertainment,Blizzard Entertainment,MMORPG,Rated T For Teen,5.8,1746,10486
