title,releasedate,developer,publisher,genres,productrating,userscore,userratingscount,id
Tak and the Power of Juju,2003-10-15,Avalanche Software,THQ,3D Platformer,Rated E For Everyone,7.6,12,122
Game of Thrones,2012-05-15,Cyanide,Atlus,Western RPG,Rated M For Mature,5.2,130,123
Where's My Perry?,2012-06-28,,,Puzzle,Rated RP For Rate Pending,6.6,9,124
Bleach: The Blade of Fate,2007-10-09,Treasure,Sega,2D Fighting,Rated T For Teen,6.1,19,125
EGGLIA Rebirth,2022-02-10,Brownies,Brownies,JRPG,Rated E For Everyone,,,126
Wonderputt,2012-09-13,Damp Gnat Ltd,Damp Gnat Ltd,Adventure,,,,127
Crazy Taxi (1999),2010-11-24,Hitmaker,Sega,Auto Racing,Rated E +10 For Everyone +10,7.3,30,128
Commanders: Attack,2008-02-13,Southend Interactive,Sierra Online,Turn-Based Tactics,Rated E +10 For Everyone +10,8,5,129
Nostradamus: The Last Prophecy,2007-09-30,Kheops Studio,MC2 Entertainment,Adventure,Rated E +10 For Everyone +10,6.4,11,130
Avatar: Frontiers of Pandora,2023-12-07,Massive Entertainment,Ubisoft,Open-World Action,Rated T For Teen,7.7,599,131
Biomutant,2021-05-25,Experiment 101,THQ Nordic,Action RPG,Rated T For Teen,6.3,508,132
Killzone: Liberation,2006-10-31,Guerrilla,SCEA,Top-Down Shoot-'Em-Up,Rated T For Teen,7.9,112,133
Undertow,2007-11-21,Chair Entertainment,Chair Entertainment,Horizontal Shoot-'Em-Up,Rated E +10 For Everyone +10,5.5,11,134
New Tales from the Borderlands,2022-10-21,Gearbox Software,2K Games,Adventure,Rated M For Mature,3.8,72,135
Jeremy McGrath's Offroad,2012-06-27,2XL Games,D3Publisher,Auto Racing Sim,Rated E For Everyone,5.7,10,136
Shadow of the Beast,2016-05-17,Heavy Spectrum,Sony Interactive Entertainment,Action Adventure,Rated M For Mature,7.3,169,137
Waking Mars,2012-03-01,Tiger Style,Tiger Style,2D Platformer,,6.7,12,138
Total War: WARHAMMER III - Forge of the Chaos Dwarfs,2023-04-13,Creative Assembly,Sega,Real-Time Tactics,,6.2,19,139
